Playername,Country,Age,Height,Position,Years Played,Mean Year,Appearances,Goals,Birthplace,Longitude,Latitude
J&#xFA;nior Baiano,Brazil,44,,Defender,1997-2002,1999.5,25,2,Feira de Santana,-38.95,-12.25
Leovegildo Lins da Gama J&#xFA;nior,Brazil,60,1.72,Defender,1979-1992,1985.5,70,9,Jo&#xE3;o Pessoa Para&#xED;ba,-34.8333,-7.0833
Kak&#xE1;,Brazil,32,1.86,Midfielder,2002-,2008,87,29,Gama Federal District,-48.0675,-16.0217
Juninho Pernambucano,Brazil,39,1.78,Midfielder,1999-2006,2002.5,40,6,Recife,-34.9,-8.05
Kl&#xE9;ber Laube Pinheiro,Brazil,24,1.87,Forward,2011-,2012.5,2,0,Est&#xE2;ncia Velha,-51.1833,-29.65
Jos&#xE9; Leandro Ferreira,Brazil,55,,Defender,,,,,Cabo Frio,-42.0189,-22.8789
Jen&#xED;lson &#xC2;ngelo de Souza,Brazil,41,1.70,Defender,1996-2004,2000,22,1,Santo Ant&#xF4;nio de Jesus,-39.2611,-12.9692
L&#xE9;omar Leiria,Brazil,43,1.85,Midfielder,2001,2001,5,0,Marechal C&#xE2;ndido Rondon,-54.0667,-24.5667
Jos&#xE9; Kl&#xE9;berson,Brazil,35,1.76,Midfielder,2002-2010,2006,32,2,Ura&#xED;,-50.8167,-23.2
Leandro Machado,Brazil,38,1.85,Forward,1996,1996,2,1,Santo Amaro da Imperatriz,-48.7789,-27.6878
&#xC9;merson Le&#xE3;o,Brazil,65,1.79,Goalkeeper,1969-1986,1977.5,80,0,Ribeir&#xE3;o Preto,-47.8067,-21.1783
Lucas Leiva,Brazil,27,1.79,Midfielder,2007-,2010.5,24,0,Dourados,-54.8058,-22.2208
Leivinha,Brazil,64,1.75,Forward,1972-1974,1973,21,7,Novo Horizonte S&#xE3;o Paulo,-49.2208,-21.3356
Leonardo Ara&#xFA;jo,Brazil,44,1.75,Defender,1990-2002,1996,60,8,Niter&#xF3;i,-43.1039,-22.8828
L&#xE9;o Bastos,Brazil,39,1.69,Defender,2001-2005,2003,7,0,Campos dos Goytacazes,-41.3239,-21.7539
Jos&#xE9; dos Santos Lopes,Brazil,,,Forward,1938,1938,,,Batatais,-47.585,-20.8911
Lucas Marques,Brazil,26,1.74,Defender,2012,2012,2,0,Passos Minas Gerais,-46.61,-20.7189
Leandro Amaral,Brazil,37,1.77,Forward,2001,2001,4,0,S&#xE3;o Paulo,-46.6333,-23.55
Le&#xF4;nidas,Brazil,,,Forward,1932-1946,1939,19,21,Rio de Janeiro,-43.1964,-22.9083
Lucas Moura,Brazil,22,1.73,Midfielder,2011-,2012.5,31,4,S&#xE3;o Paulo,-46.6333,-23.55
L&#xFA;cio,Brazil,36,1.88,Defender,2000-2011,2005.5,105,4,Planaltina Federal District,-47.6667,-15.6167
Luiz Luz,Brazil,,,Defender,1934,1934,,,Porto Alegre,-51.23,-30.0331
Alexandre Lopes,Brazil,39,1.86,Defender,1995-1996,1995.5,3,0,Rio de Janeiro,-43.1964,-22.9083
Lu&#xED;s Fabiano,Brazil,33,1.85,Forward,2003-,2008.5,45,28,Campinas,-47.0572,-22.9008
Luis&#xE3;o,Brazil,33,1.92,Defender,2001-2011,2006,44,3,Amparo S&#xE3;o Paulo,-46.765,-22.7031
Luiz Bombonato Goulart,Brazil,38,1.78,Forward,1996-2002,1999,12,4,Rubin&#xE9;ia,-51.0022,-20.1794
David Luiz,Brazil,27,1.89,Defender,2010-,2012,43,2,Diadema S&#xE3;o Paulo,-46.6106,-23.6861
Magno Alves,Brazil,38,1.76,Forward,2001,2001,3,0,Apor&#xE1;,-38.0808,-11.66
Luiz Alberto da Silva Oliveira,Brazil,36,1.86,Defender,1999,1999,1,0,Rio de Janeiro,-43.1964,-22.9083
Arthur Machado,Brazil,,1.74,Defender,1938-1939,1938.5,6,0,Niter&#xF3;i,-43.1039,-22.8828
Maicon Sisenando,Brazil,33,1.84,Defender,2003-,2008.5,75,7,Novo Hamburgo,-51.1308,-29.6778
Andr&#xE9; Luiz Moreira,Brazil,39,,Midfielder,1995-1997,1996,19,2,S&#xE3;o Paulo,-46.6333,-23.55
Silva Batuta,Brazil,74,,,,,5,0,Brazil,-47.8667,-15.7833
Marcelinho Para&#xED;ba,Brazil,39,1.74,Forward,2001,2001,5,1,Campina Grande,-35.8811,-7.2306
M&#xE1;rcio Rodrigues,Brazil,35,1.86,Midfielder,2004-2005,2004.5,3,0,S&#xE3;o Paulo,-46.6333,-23.55
Marcelinho Carioca,Brazil,43,1.67,Midfielder,1998-2001,1999.5,3,2,Rio de Janeiro,-43.1964,-22.9083
Marcos Roberto Silveira Reis,Brazil,41,1.93,Goalkeeper,1996-2005,2000.5,29,0,Oriente S&#xE3;o Paulo,-51.0908,-22.1528
Pepe (footballer born 1935),Brazil,79,,Forward,1955-1965,1960,41,22,Santos S&#xE3;o Paulo,-46.325,-23.9369
Edu Manga,Brazil,47,1.84,Midfielder,1987-1989,1988,10,0,Brazil,-47.8667,-15.7833
Jos&#xE9; Marcelo Ferreira,Brazil,41,1.75,Defender,1996-2001,1998.5,25,0,Oeiras Piau&#xED;,-42.1333,-7.0167
Marcos Rocha,Brazil,25,1.84,Defender,2013-,2013.5,2,0,Sete Lagoas,-44.2469,-19.4658
Marques Batista de Abreu,Brazil,41,1.74,Forward,1994-2002,1998,11,3,Guarulhos,-46.5333,-23.4667
Marinho Chagas,Brazil,,1.78,Defender,1972-1975,1973.5,28,4,Natal Rio Grande do Norte,-35.2,-5.7833
Marcelo Vieira,Brazil,26,1.74,Defender,2006-,2010,37,4,Rio de Janeiro,-43.1964,-22.9083
Martim M&#xE9;rcio da Silveira,Brazil,,,Midfielder,1934-1938,1936,,,Bag&#xE9;,-54.1069,-31.3308
Marquinhos (footballer born 1994),Brazil,20,1.83,Defender,2013-,2013.5,1,0,S&#xE3;o Paulo,-46.6333,-23.55
Joubert Ara&#xFA;jo Martins,Brazil,39,1.76,Midfielder,1995-1999,1997,13,2,Cuiab&#xE1;,-56.0969,-15.5958
Marinho Peres,Brazil,67,,Defender,1972-1974,1973,15,1,Sorocaba,-47.4581,-23.5017
Maurinho,Brazil,,,Forward,1954-1957,1955.5,,,Araraquara,-48.1761,-21.7947
Maxwell (footballer),Brazil,32,1.76,Defender,2013-,2013.5,10,0,Cachoeiro de Itapemirim,-41.1128,-20.8489
Maur&#xED;cio de Oliveira Anast&#xE1;cio,Brazil,51,1.84,Forward,1991,1991,1,0,Rio de Janeiro,-43.1964,-22.9083
Marcos Corr&#xEA;a dos Santos,Brazil,42,1.73,Midfielder,,,,,Rio de Janeiro,-43.1964,-22.9083
Mazinho,Brazil,48,1.76,Midfielder,1989-1994,1991.5,35,0,Santa Rita Para&#xED;ba,-34.9778,-7.1139
Mazinho Oliveira,Brazil,48,1.80,Forward,1990-1991,1990.5,10,2,Rio de Janeiro,-43.1964,-22.9083
Fernando Menegazzo,Brazil,33,1.86,Midfielder,2003-2007,2005,8,0,Anita Garibaldi Santa Catarina,-51.4058,-27.0019
M&#xE1;rio S&#xE9;rgio Pontes de Paiva,Brazil,63,,Midfielder,1981-1985,1983,8,0,Rio de Janeiro,-43.1964,-22.9083
Mazar&#xF3;pi,Brazil,61,,Goalkeeper,,,1,0,Al&#xE9;m Para&#xED;ba,-42.7039,-21.8878
Felipe Melo,Brazil,31,1.83,Midfielder,2009-,2011.5,22,2,Volta Redonda,-44.1039,-22.5228
Evair,Brazil,49,1.84,Forward,1992-1993,1992.5,9,2,Cris&#xF3;lia,
Miranda (footballer),Brazil,29,1.86,Defender,2009-,2011.5,7,0,Paranava&#xED;,-52.465,-23.0728
Juninho Fonseca,Brazil,55,1.84,,1980-1982,1981,,,Ol&#xED;mpia S&#xE3;o Paulo),
Sebasti&#xE3;o Miranda da Silva Filho,Brazil,62,,Forward,1974,1974,6,0,Bebedouro,-48.4792,-20.9494
Mineiro (footballer),Brazil,39,1.70,Midfielder,2001-2008,2004.5,24,0,Porto Alegre,-51.23,-30.0331
Mois&#xE9;s Matias de Andrade,Brazil,,,Defender,1973,1973,,,Resende Rio de Janeiro,-44.4469,-22.4689
Aymor&#xE9; Moreira,Brazil,,,Goalkeeper,1932-1940,1936,4,0,Miracema,-42.1969,-21.4119
Benedicto de Moraes Menezes,Brazil,,,Forward,,,,,Rio de Janeiro,-43.1964,-22.9083
Thiago Motta,Brazil,32,1.87,Midfielder,2011-,2012.5,23,1,S&#xE3;o Bernardo do Campo,-46.55,-23.7
Lu&#xED;s Morais,Brazil,84,,Goalkeeper,1954,1954,,,S&#xE3;o Paulo,-46.6333,-23.55
Joel de Oliveira Monteiro,Brazil,,,Goalkeeper,1930,1930,,,Rio de Janeiro,-43.1964,-22.9083
Leonardo da Silva Moura,Brazil,35,1.76,Defender,,,,,Niter&#xF3;i,-43.1039,-22.8828
M&#xFC;ller (footballer),Brazil,48,1.78,Forward,1986-1998,1992,56,12,Campo Grande,-54.6111,-20.4622
Naldo (footballer born 1982),Brazil,31,1.98,Defender,2007-2009,2008,4,0,Londrina,-51.1628,-23.31
Gilberto Carlos Nascimento,Brazil,48,1.72,Midfielder,1988,1988,1,0,Ipiranga (district of S&#xE3;o Paulo),-46.6078,-23.5914
Carlos Mozer,Brazil,53,1.87,Defender,1983-1994,1988.5,32,0,Rio de Janeiro,-43.1964,-22.9083
Narciso dos Santos,Brazil,44,,Midfielder,1995-1998,1996.5,,,Sergipe,-37.3833,-10.5833
N&#xE1;dson Rodrigues de Souza,Brazil,32,1.72,Forward,2003,2003,2,0,Serrinha,-39.0069,-11.6611
Neco,Brazil,,,Forward,1917-1922,1919.5,15,8,S&#xE3;o Paulo,-46.6333,-23.55
Chico Netto,Brazil,,,Defender,1917,1917,3,1,Mogi Mirim,-46.9578,-22.4319
N&#xE9;lson Lu&#xED;s Kerchner,Brazil,51,1.79,Defender,1987-1990,1988.5,17,1,S&#xE3;o Paulo,-46.6333,-23.55
Neto (footballer),Brazil,47,1.74,Forward,1988-1993,1990.5,26,7,Santo Ant&#xF4;nio de Posse,-46.9194,-22.6061
Nelinho,Brazil,64,,Defender,1974-1980,1977,28,8,Rio de Janeiro,-43.1964,-22.9083
Neymar,Brazil,22,1.75,Forward,2010-,2012,54,35,Mogi das Cruzes,-46.1931,-23.5228
Nilmar,Brazil,30,1.80,Forward,2003-2011,2007,24,9,Bandeirantes Paran&#xE1;,-50.3678,-23.11
Ariel Nogueira,Brazil,,,Defender,,,,,Petr&#xF3;polis,-43.1789,-22.505
Nininho,Brazil,,,Forward,1949,1949,4,3,Campinas,-47.0572,-22.9008
Non&#xF4; (footballer),Brazil,,,Forward,1921,1921,1,0,Rio de Janeiro,-43.1964,-22.9083
Nonato,Brazil,35,1.76,Forward,,,,,Viseu Par&#xE1;,-46.14,-1.1969
Orlando Pe&#xE7;anha de Carvalho,Brazil,,,Defender,1958-1966,1962,30,0,Niter&#xF3;i,-43.1039,-22.8828
Octac&#xED;lio Pinheiro Guerra,Brazil,,,Defender,,,,,Porto Alegre,-51.23,-30.0331
Oscar (footballer born 1991),Brazil,22,1.80,Midfielder,2011-,2012.5,38,11,Americana S&#xE3;o Paulo,-47.3311,-22.7386
Oreco,Brazil,,,Defender,,,,,Santa Maria Rio Grande do Sul,-53.8,-29.6833
